City_ID,City,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed,Country,Date
0,grytviken,-54.2811,-36.5092,0.01,80,23,5.73,GS,1682232583
1,vila franca do campo,37.7167,-25.4333,17.23,94,100,6.9,PT,1682232586
2,olonkinbyen,70.9221,-8.7187,-3.4,60,7,6.1,SJ,1682232589
3,torrington,41.8007,-73.1212,11.99,97,100,1.79,US,1682232534
4,port-aux-francais,-49.35,70.2167,8.42,97,100,13.44,TF,1682232593
5,touros,-5.1989,-35.4608,25.02,83,89,5.02,BR,1682232478
6,enewetak,11.3474,162.3373,26.15,85,100,7.65,MH,1682232598
7,quellon,-43.1167,-73.6167,5.14,100,75,1.03,CL,1682232601
8,ushuaia,-54.8,-68.3,5.81,75,20,11.32,AR,1682232422
9,bamboo flat,11.7,92.7167,32.31,59,44,2.31,IN,1682232606
10,urucara,-2.5364,-57.76,22.23,100,100,0.63,BR,1682232609
11,blackmans bay,-43.0167,147.3167,14.74,64,39,1.82,AU,1682232611
12,bethel,41.3712,-73.414,12.47,90,100,2.06,US,1682232414
13,shizukuishi,39.6833,140.9833,12.43,47,90,7.43,JP,1682232616
14,carnarvon,-24.8667,113.6333,26.52,45,100,5.97,AU,1682232619
15,bilibino,68.0546,166.4372,-2.4,86,10,1.59,RU,1682232622
16,socorro,31.6546,-106.3033,17.92,28,20,4.12,US,1682232624
17,jamestown,42.097,-79.2353,6.77,92,20,3.6,US,1682232329
18,waitangi,-43.9535,-176.5597,13.23,90,0,2.4,NZ,1682232630
19,nadym,65.5333,72.5167,0.7,100,100,4.77,RU,1682232632
20,inari,68.906,27.0288,-1.89,58,11,6.57,FI,1682232635
21,wailua homesteads,22.0669,-159.378,24.24,88,20,3.6,US,1682232637
22,fort bragg,35.139,-79.006,13.79,94,0,2.57,US,1682232640
23,port alfred,-33.5906,26.891,17.88,86,100,0.95,ZA,1682232642
24,necochea,-38.5473,-58.7368,9.76,89,1,2.25,AR,1682232645
25,bonthe,7.5264,-12.505,26.0,81,47,1.0,SL,1682232647
26,edinburgh of the seven seas,-37.0676,-12.3116,15.83,72,61,8.93,SH,1682232650
27,ribeira grande,38.5167,-28.7,17.65,100,75,7.72,PT,1682232652
28,lebu,-37.6167,-73.65,11.02,90,12,6.18,CL,1682232612
29,tome acu,-2.4189,-48.1522,22.37,99,100,0.76,BR,1682232657
30,revda,56.801,59.9303,6.1,90,100,2.68,RU,1682232601
31,bardai,11.65,7.2333,26.82,57,5,7.75,NG,1682232662
32,avarua,-21.2078,-159.775,22.03,88,30,1.54,CK,1682232665
33,sao jose da coroa grande,-8.8978,-35.1478,24.57,80,39,2.99,BR,1682232667
34,tiksi,71.6872,128.8694,-4.13,84,13,0.14,RU,1682232670
35,villa gesell,-37.2639,-56.973,12.81,86,18,2.62,AR,1682232672
36,essaouira,31.5125,-9.77,17.51,82,5,9.38,MA,1682232675
37,almeirim,-1.5233,-52.5817,22.98,96,100,0.29,BR,1682232678
38,vernon,50.2581,-119.2691,13.2,54,100,4.63,CA,1682232681
39,dijkot,31.2167,72.9833,32.66,13,0,4.02,PK,1682232683
40,la passe,45.5549,-0.8967,13.88,83,100,9.37,FR,1682232686
41,mandera,3.9366,41.867,27.05,67,93,1.89,KE,1682232688
42,port lincoln,-34.7333,135.8667,19.42,65,0,4.96,AU,1682232691
43,phan rang-thap cham,11.5667,108.9833,33.44,49,7,5.3,VN,1682232511
44,palikir - national government center,6.9248,158.1611,27.63,78,100,4.9,FM,1682232697
45,ouled mimoun,34.9047,-1.0339,11.01,56,38,0.4,DZ,1682232700
46,saipan,15.1355,145.701,30.39,100,40,7.2,MP,1682232702
47,adamstown,-25.066,-130.1015,24.39,89,100,6.23,PN,1682232705
48,igarka,67.4667,86.5833,0.74,100,100,7.84,RU,1682232707
49,takoradi,4.8845,-1.7554,27.3,82,64,4.17,GH,1682232710
50,isafjordur,66.0755,-23.124,0.56,66,9,1.52,IS,1682232712
51,tazovsky,67.4667,78.7,0.7,99,100,5.81,RU,1682232715
52,fort st. john,56.2499,-120.8529,3.94,87,100,2.06,CA,1682232717
53,uricani,45.3373,23.1524,11.03,74,81,1.28,RO,1682232720
54,longyearbyen,78.2186,15.6401,-10.09,67,0,3.6,SJ,1682232722
55,khandyga,62.6667,135.6,0.34,83,100,1.39,RU,1682232725
56,west island,-12.1568,96.8225,28.99,79,75,6.17,CC,1682232728
57,san antonio de pale,-1.4014,5.6325,27.46,79,100,4.91,GQ,1682232730
58,margaret river,-33.95,115.0667,21.05,60,5,4.22,AU,1682232663
59,hasaki,35.7333,140.8333,16.79,41,33,2.96,JP,1682232445
60,hawaiian paradise park,19.5933,-154.9731,22.73,93,100,0.0,US,1682232738
61,punta arenas,-53.15,-70.9167,6.06,81,0,14.4,CL,1682232402
62,nemuro,43.3236,145.575,1.64,97,100,1.82,JP,1682232743
63,dunedin,-45.8742,170.5036,11.56,10,39,9.51,NZ,1682232746
64,greymouth,-42.4667,171.2,14.33,88,100,3.07,NZ,1682232664
65,yarmouth,41.7057,-70.2286,10.64,82,100,6.69,US,1682232751
66,albany,42.6001,-73.9662,11.76,92,100,0.89,US,1682232702
67,parabel',58.6978,81.4825,6.68,74,100,5.63,RU,1682232756
68,iqaluit,63.7506,-68.5145,-0.15,93,100,6.17,CA,1682232759
69,buka,40.8108,69.1986,27.6,16,11,2.49,UZ,1682232762
70,mar del plata,-38.0023,-57.5575,15.53,89,75,0.45,AR,1682232606
71,hamilton,39.1834,-84.5333,4.39,76,0,3.09,US,1682232537
72,thompson,55.7435,-97.8558,-5.91,53,40,1.54,CA,1682232769
73,nilsia,63.2,28.0833,2.07,65,98,3.22,FI,1682232771
74,kone,-21.0595,164.8658,25.03,86,49,2.01,NC,1682232774
75,altai,46.3722,96.2583,2.89,60,100,4.12,MN,1682232776
76,timimoun,29.2639,0.231,23.72,31,69,5.25,DZ,1682232779
77,lugoj,45.6886,21.9031,12.88,62,92,1.45,RO,1682232781
78,gadzhiyevo,69.2551,33.3362,-2.74,77,84,11.0,RU,1682232784
79,qaqortoq,60.7167,-46.0333,-0.7,87,55,1.17,GL,1682232787
80,eynesil,41.0645,39.1438,13.63,87,100,2.21,TR,1682232790
